query,len,len_bucket,wws_urls
hot chick,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=hot%20chick
broccolli,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=broccolli
blue tape,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=blue%20tape
vittoria esp,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=vittoria%20esp
dov,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dov
farmhouse mil,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=farmhouse%20mil
tempters tuna,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=tempters%20tuna
kleenex soothe,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=kleenex%20soothe
takoyaki,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=takoyaki
smoke cheese,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=smoke%20cheese
musli bars,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=musli%20bars
allen pin,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=allen%20pin
cracker captains,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cracker%20captains
dog bacon,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dog%20bacon
pastry puffs,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=pastry%20puffs
your favourite,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=your%20favourite
zero sugar,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=zero%20sugar
women bonds,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=women%20bonds
colgate freshmint,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=colgate%20freshmint
hair style,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=hair%20style
crushed garli,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=crushed%20garli
maybelline colo,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=maybelline%20colo
crispy squid,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=crispy%20squid
large santoku,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=large%20santoku
clip fresh,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=clip%20fresh
tri capsicum,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=tri%20capsicum
splash,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=splash
water bottles,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=water%20bottles
chocolate mould,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chocolate%20mould
essences,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=essences
cashmere vanilla,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cashmere%20vanilla
zinc,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=zinc
cake topping,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cake%20topping
dog chewz,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dog%20chewz
vegi delight,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=vegi%20delight
men deoderant,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=men%20deoderant
yogurt frozen,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=yogurt%20frozen
cottoneye pads,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cottoneye%20pads
dry erase,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dry%20erase
candle wax,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=candle%20wax
broccoli baby,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=broccoli%20baby
arnott choc,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=arnott%20choc
vitamine juice,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=vitamine%20juice
salmon froz,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=salmon%20froz
fermented cabbage,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=fermented%20cabbage
chobani blue,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chobani%20blue
tasty slice,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=tasty%20slice
vegan schnitzels,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=vegan%20schnitzels
coles fairy,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=coles%20fairy
chargrill,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chargrill
chili salami,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chili%20salami
past sauce,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=past%20sauce
mushroom mince,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=mushroom%20mince
tim ta,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=tim%20ta
bread giant,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bread%20giant
kikkoma,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=kikkoma
organic bellies,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=organic%20bellies
cottee strawberry,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cottee%20strawberry
masterfood marinade,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=masterfood%20marinade
sausage base,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=sausage%20base
fresh burst,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=fresh%20burst
oob,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=oob
suisse,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=suisse
mature cheddar,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=mature%20cheddar
snacks gluten,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=snacks%20gluten
nappy ba,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=nappy%20ba
lindt chocol,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=lindt%20chocol
light thic,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=light%20thic
mayonnaise whol,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=mayonnaise%20whol
bread bun,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bread%20bun
soy coffee,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=soy%20coffee
raw beetroo,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=raw%20beetroo
lichtenstein bread,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=lichtenstein%20bread
aoli,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=aoli
carrot coles,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=carrot%20coles
formula nan,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=formula%20nan
sparkling coco,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=sparkling%20coco
snow pea,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=snow%20pea
paracetamol caplets,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=paracetamol%20caplets
soap handwash,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=soap%20handwash
champinins,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=champinins
lice lotion,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=lice%20lotion
rice sugar,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=rice%20sugar
mazetti,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=mazetti
organic lite,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=organic%20lite
shredded cereal,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=shredded%20cereal
carriot,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=carriot
chilli dry,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chilli%20dry
teaspoon,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=teaspoon
coon slic,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=coon%20slic
straightening brush,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=straightening%20brush
pencil lea,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=pencil%20lea
food pack,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=food%20pack
fruits fruit,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=fruits%20fruit
organic only,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=organic%20only
cake cook,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cake%20cook
boiled,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=boiled
passata tomato,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=passata%20tomato
soft jellies,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=soft%20jellies
milk uht,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=milk%20uht
tomato di,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=tomato%20di
oreos cream,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=oreos%20cream
bellamy apple,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bellamy%20apple
active water,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=active%20water
mushroom portabella,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=mushroom%20portabella
custard choc,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=custard%20choc
chutney,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chutney
onion shallot,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=onion%20shallot
millet,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=millet
garden coriander,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=garden%20coriander
middle ham,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=middle%20ham
coles muslie,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=coles%20muslie
microfibe,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=microfibe
weebix,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=weebix
sodium,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=sodium
margarine fairy,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=margarine%20fairy
polishing cloth,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=polishing%20cloth
rown rice,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=rown%20rice
smokey bbq,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=smokey%20bbq
chocolate syr,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chocolate%20syr
nba cards,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=nba%20cards
two minute,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=two%20minute
bostik glue,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bostik%20glue
bosistos bathroom,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bosistos%20bathroom
cake heart,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cake%20heart
outdoor,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=outdoor
coffee filter,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=coffee%20filter
yoghurt natura,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=yoghurt%20natura
onion shallots,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=onion%20shallots
banana froze,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=banana%20froze
forest hill,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=forest%20hill
chicken breasr,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chicken%20breasr
middle bacon,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=middle%20bacon
lite smooth,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=lite%20smooth
tabouli,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=tabouli
chunke,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chunke
apricot j,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=apricot%20j
hair gummies,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=hair%20gummies
meal replacement,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=meal%20replacement
bub organic,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bub%20organic
caramel fill,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=caramel%20fill
anti bact,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=anti%20bact
chilly sauce,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chilly%20sauce
easy entertainment,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=easy%20entertainment
bluebe,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bluebe
harvest seaweed,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=harvest%20seaweed
pak choy,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=pak%20choy
shredded cocconut,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=shredded%20cocconut
fruit pouches,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=fruit%20pouches
real iced,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=real%20iced
dutch potato,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dutch%20potato
rolls brioche,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=rolls%20brioche
vanilla sponge,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=vanilla%20sponge
banana crisps,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=banana%20crisps
mince meals,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=mince%20meals
greek yogu,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=greek%20yogu
ajax kitchen,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=ajax%20kitchen
margarit,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=margarit
