,Title,Title_URL,Company_URL,Company,ratinglink_URL,Number,Company1,Salary,metadata,metadata2,moreitems,jobsnippet,date,ialbl,jobsnippet3,Field1,Field2
6352,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Job Type: Full-time,"
 8 hour shift
"
6353,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Salary: $27.50 – $30.00 per hour,"
 8 hour shift
"
6354,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Schedule:,"
 8 hour shift
"
6355,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Supplemental pay types:,"
 8 hour shift
"
6356,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Ability to commute/relocate:,"
 8 hour shift
"
6357,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Work Authorisation:,"
 8 hour shift
"
6358,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Work Location: In person,"
 8 hour shift
"
7074,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,VEGETABLE GROWER,"
 8 hour shift
"
7076,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Katunga Fresh Pty Ltd, a leading grower of hydroponic tomatoes, is seeking a full‐time VEGETABLE GROWER for their farm located in Katunga, Victoria. This position involves direction and oversight of general farm activities including application of fertilizers and other nutrients, pest/weed control, monitoring of the farm growing operations, production/crop production coordination and planning taking into account external factors, selecting and planting seeds, seedlings and grafting new varieties to root stocks, assisting production by de‐budding and pruning to maintain optimal growing conditions, maintaining farm buildings and related equipment and resources, and forecasting production figures and quality control. The successful candidate will have proven experience in farm techniques and farm management, will be patient, hardworking and resourceful, and will be able to work and communicate effectively as part of our dedicated and motivated growing and production team. Qualifications: This position requires at least an AQF Certificate II or III or 5 years of relevant experience","
 8 hour shift
"
7077,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Salary package range is $54,000 ‐ $65,000 plus superannuation; salary is based on previous experience and skills. Job is located in Katunga, VIC – applicant must be able to commute or relocate. Must be authorised to work in Australia. Job is full‐time (8‐hour shifts).","
 8 hour shift
"
7079,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Salary: $54,000.00 – $65,000.00 per year","
 8 hour shift
"
