query,len,len_bucket,coles_cnt,wws_search_cnt,coles_url
dine square bowls large plastic,5,3,1,0,https://www.coles.com.au/search?q=dine%20square%20bowls%20large%20plastic
coles beef thyme parsley burgers,5,3,1,0,https://www.coles.com.au/search?q=coles%20beef%20thyme%20parsley%20burgers
bulla creamy choc mint,4,3,1,0,https://www.coles.com.au/search?q=bulla%20creamy%20choc%20mint
donut king caramel iced doughnut,5,3,1,0,https://www.coles.com.au/search?q=donut%20king%20caramel%20iced%20doughnut
coles frozen chicken nugget,4,3,1,0,https://www.coles.com.au/search?q=coles%20frozen%20chicken%20nugget
purina one adult ocean fish,5,3,1,0,https://www.coles.com.au/search?q=purina%20one%20adult%20ocean%20fish
brown rice and quin,4,3,1,0,https://www.coles.com.au/search?q=brown%20rice%20and%20quin
butter chicken simmer s,4,3,1,0,https://www.coles.com.au/search?q=butter%20chicken%20simmer%20s
sea salt and vin,4,3,1,0,https://www.coles.com.au/search?q=sea%20salt%20and%20vin
beef and onion sau,4,3,1,0,https://www.coles.com.au/search?q=beef%20and%20onion%20sau
kelloggs crum,2,1,1,1,https://www.coles.com.au/search?q=kelloggs%20crum
chocolate prinkle,2,1,1,1,https://www.coles.com.au/search?q=chocolate%20prinkle
cottee strawberry,2,1,1,1,https://www.coles.com.au/search?q=cottee%20strawberry
bosistos bathroom,2,1,1,1,https://www.coles.com.au/search?q=bosistos%20bathroom
flour tipo,2,1,1,1,https://www.coles.com.au/search?q=flour%20tipo
mini mallow,2,1,1,1,https://www.coles.com.au/search?q=mini%20mallow
vegan eggs,2,1,1,1,https://www.coles.com.au/search?q=vegan%20eggs
hengshun chinkiang,2,1,1,1,https://www.coles.com.au/search?q=hengshun%20chinkiang
popcorns bars,2,1,1,1,https://www.coles.com.au/search?q=popcorns%20bars
chilli lindt,2,1,1,1,https://www.coles.com.au/search?q=chilli%20lindt
wasabi kewpie,2,1,1,1,https://www.coles.com.au/search?q=wasabi%20kewpie
rockmelon half,2,1,1,1,https://www.coles.com.au/search?q=rockmelon%20half
weatbix kids,2,1,1,1,https://www.coles.com.au/search?q=weatbix%20kids
dried garlic,2,1,1,1,https://www.coles.com.au/search?q=dried%20garlic
pears handwash,2,1,1,1,https://www.coles.com.au/search?q=pears%20handwash
souvlaki and pizza,3,2,1,1,https://www.coles.com.au/search?q=souvlaki%20and%20pizza
bosistios multipurpose cleaner,3,2,1,1,https://www.coles.com.au/search?q=bosistios%20multipurpose%20cleaner
banana split icecream,3,2,1,1,https://www.coles.com.au/search?q=banana%20split%20icecream
pataks lime pickles,3,2,1,1,https://www.coles.com.au/search?q=pataks%20lime%20pickles
kan tong peanut,3,2,1,1,https://www.coles.com.au/search?q=kan%20tong%20peanut
coles ikin billis,3,2,1,1,https://www.coles.com.au/search?q=coles%20ikin%20billis
spelt and sprouted,3,2,1,1,https://www.coles.com.au/search?q=spelt%20and%20sprouted
apple cider ginger,3,2,1,1,https://www.coles.com.au/search?q=apple%20cider%20ginger
sliced bamboo shoots,3,2,1,1,https://www.coles.com.au/search?q=sliced%20bamboo%20shoots
swisse daily immune,3,2,1,1,https://www.coles.com.au/search?q=swisse%20daily%20immune
maggi chinese bbq,3,2,1,1,https://www.coles.com.au/search?q=maggi%20chinese%20bbq
banana tamar valley,3,2,1,1,https://www.coles.com.au/search?q=banana%20tamar%20valley
